date,sales
01-01-2024,200
02-01-2024,205
03-01-2024,198
04-01-2024,202
05-01-2024,189
06-01-2024,182
07-01-2024,189
08-01-2024,185
09-01-2024,175
10-01-2024,175
11-01-2024,165
12-01-2024,159
13-01-2024,159
14-01-2024,140
15-01-2024,130
16-01-2024,128
17-01-2024,121
18-01-2024,127
19-01-2024,120
20-01-2024,112
21-01-2024,129
22-01-2024,124
23-01-2024,127
24-01-2024,116
25-01-2024,117
26-01-2024,120
27-01-2024,112
28-01-2024,120
29-01-2024,115
30-01-2024,117
31-01-2024,114
01-02-2024,132
02-02-2024,128
03-02-2024,121
04-02-2024,131
05-02-2024,119
06-02-2024,126
07-02-2024,110
08-02-2024,107
09-02-2024,113
10-02-2024,121
11-02-2024,122
12-02-2024,122
13-02-2024,122
14-02-2024,112
15-02-2024,112
16-02-2024,111
17-02-2024,123
18-02-2024,124
19-02-2024,111
20-02-2024,120
21-02-2024,117
22-02-2024,115
23-02-2024,123
24-02-2024,131
25-02-2024,137
26-02-2024,128
27-02-2024,129
28-02-2024,132
29-02-2024,139
01-03-2024,133
02-03-2024,133
03-03-2024,124
04-03-2024,118
05-03-2024,128
06-03-2024,137
07-03-2024,134
08-03-2024,143
09-03-2024,142
10-03-2024,136
11-03-2024,140
12-03-2024,150
13-03-2024,145
14-03-2024,157
15-03-2024,129
16-03-2024,143
17-03-2024,139
18-03-2024,137
19-03-2024,138
20-03-2024,121
21-03-2024,125
22-03-2024,128
23-03-2024,140
24-03-2024,132
25-03-2024,128
26-03-2024,126
27-03-2024,135
28-03-2024,135
29-03-2024,130
30-03-2024,136
31-03-2024,135
01-04-2024,143
02-04-2024,134
03-04-2024,133
04-04-2024,130
05-04-2024,120
06-04-2024,127
07-04-2024,128
08-04-2024,129
09-04-2024,127
10-04-2024,117
11-04-2024,119
12-04-2024,118
13-04-2024,114
14-04-2024,117
15-04-2024,122
16-04-2024,137
17-04-2024,134
18-04-2024,137
19-04-2024,135
20-04-2024,120
21-04-2024,125
